customer_id,plan_tier,base_mrr,signup_month_idx,industry,region,acquisition_channel,company_size_employees,has_csm,month_idx,tenure_months,current_mrr,status,logins_per_month,active_seats_pct,features_adopted,support_tickets,nps_score,avg_logins,avg_support_tickets,avg_nps,n_expansion_events,n_contraction_events,months_observed,churned,net_mrr_change_pct,expanded,health_class
CUST-10000,Starter,191.61,10,Media,Europe,Paid Search,33,False,12,3,191.61,churned,24,0.86,8,1,77,25.333333333333332,0.6666666666666666,62.666666666666664,0,0,3,1,0.0,0,0
CUST-10001,Starter,194.49,11,Manufacturing,North America,Partner/Referral,74,False,20,10,194.49,churned,25,0.578,8,3,63,25.6,1.3,70.7,0,0,10,1,0.0,0,0
CUST-10002,Starter,127.71,11,SaaS/Tech,North America,Outbound Sales,13,False,11,1,127.71,churned,28,0.889,9,1,95,28.0,1.0,95.0,0,0,1,1,0.0,0,0
CUST-10003,Starter,62.59,18,FinTech,Europe,Inbound/Organic,21,True,23,6,62.59,active,23,0.404,7,0,20,21.666666666666668,0.8333333333333334,33.166666666666664,0,0,6,0,0.0,0,1
CUST-10004,Growth,336.25,6,E-commerce,LATAM,Partner/Referral,2,True,6,1,336.25,churned,31,0.911,13,1,87,31.0,1.0,87.0,0,0,1,1,0.0,0,0
CUST-10005,Starter,85.15,6,FinTech,Europe,Outbound Sales,84,False,7,2,85.15,churned,29,0.79,11,2,65,30.5,1.0,67.5,0,0,2,1,0.0,0,0
CUST-10006,Starter,148.38,1,Manufacturing,Europe,Paid Search,14,False,23,23,148.38,active,25,0.539,6,1,54,23.73913043478261,1.3043478260869565,54.30434782608695,0,0,23,0,0.0,0,1
CUST-10007,Starter,108.27,3,Manufacturing,APAC,Partner/Referral,26,True,6,4,108.27,churned,17,0.477,3,1,28,16.75,1.0,37.25,0,0,4,1,0.0,0,0
CUST-10008,Starter,107.3,17,Professional Services,APAC,Paid Search,27,False,23,7,107.3,active,21,0.549,6,2,65,22.428571428571427,4.142857142857143,55.0,0,0,7,0,0.0,0,1
CUST-10009,Starter,73.79,6,SaaS/Tech,APAC,Partner/Referral,38,False,14,9,88.87,churned,20,0.443,9,2,57,24.88888888888889,3.6666666666666665,61.666666666666664,1,0,9,1,20.436373492343133,1,0
CUST-10010,Starter,78.83,7,Healthcare,APAC,Outbound Sales,19,True,23,17,94.79,active,18,0.358,5,0,24,12.941176470588236,1.7058823529411764,34.94117647058823,1,0,17,0,20.246099200811884,1,2
CUST-10011,Enterprise,5363.09,1,SaaS/Tech,North America,Product-Led Trial,12,True,23,23,4693.25,active,24,0.604,5,0,58,17.869565217391305,0.043478260869565216,59.30434782608695,1,1,23,0,-12.489814640440494,0,1
CUST-10012,Growth,709.41,2,SaaS/Tech,North America,Outbound Sales,36,False,23,22,709.41,active,8,0.401,4,1,58,14.681818181818182,0.3181818181818182,40.90909090909091,0,0,22,0,0.0,0,1
CUST-10013,Growth,617.66,14,E-commerce,North America,Product-Led Trial,133,False,23,10,617.66,active,6,0.41,3,3,57,14.6,2.8,54.7,0,0,10,0,0.0,0,1
CUST-10014,Enterprise,4327.59,3,Manufacturing,North America,Product-Led Trial,5,True,23,21,3548.13,active,7,0.211,1,0,0,5.904761904761905,0.6190476190476191,17.857142857142858,0,1,21,0,-18.011410507927046,0,1
CUST-10015,Enterprise,5192.06,18,Manufacturing,LATAM,Paid Search,30,True,23,6,5192.06,active,6,0.442,7,0,28,14.666666666666666,2.0,43.833333333333336,0,0,6,0,0.0,0,1
CUST-10016,Enterprise,5433.83,5,FinTech,APAC,Partner/Referral,70,True,23,19,6927.65,active,14,0.328,1,0,39,14.842105263157896,0.42105263157894735,41.526315789473685,1,0,19,0,27.49110664117206,1,2
CUST-10017,Starter,67.31,6,Manufacturing,North America,Inbound/Organic,19,False,23,18,67.31,active,25,0.419,4,2,58,18.27777777777778,0.8888888888888888,46.55555555555556,0,0,18,0,0.0,0,1
CUST-10018,Starter,101.89,2,Professional Services,North America,Outbound Sales,5,True,3,2,101.89,churned,8,0.173,4,3,45,11.0,3.5,35.0,0,0,2,1,0.0,0,0
CUST-10019,Starter,190.44,21,Media,Europe,Inbound/Organic,15,False,23,3,190.44,active,16,0.585,5,0,72,20.666666666666668,0.3333333333333333,76.0,0,0,3,0,0.0,0,1
CUST-10020,Starter,87.09,11,Manufacturing,APAC,Outbound Sales,7,True,23,13,87.09,active,14,0.622,7,2,65,22.153846153846153,3.3846153846153846,43.69230769230769,0,0,13,0,0.0,0,1
CUST-10021,Growth,601.64,21,Professional Services,North America,Inbound/Organic,8,False,23,3,601.64,active,27,0.856,10,0,90,30.333333333333332,1.3333333333333333,84.33333333333333,0,0,3,0,0.0,0,1
CUST-10022,Growth,624.22,5,Media,Europe,Outbound Sales,5,False,23,19,479.42,active,30,0.703,9,1,39,24.36842105263158,1.1578947368421053,60.73684210526316,0,1,19,0,-23.196949793342093,0,1
