customer_id,plan_tier,base_mrr,signup_month_idx,industry,region,acquisition_channel,company_size_employees,has_csm
CUST-10000,Starter,191.61,10,Media,Europe,Paid Search,33,False
CUST-10001,Starter,194.49,11,Manufacturing,North America,Partner/Referral,74,False
CUST-10002,Starter,127.71,11,SaaS/Tech,North America,Outbound Sales,13,False
CUST-10003,Starter,62.59,18,FinTech,Europe,Inbound/Organic,21,True
CUST-10004,Growth,336.25,6,E-commerce,LATAM,Partner/Referral,2,True
CUST-10005,Starter,85.15,6,FinTech,Europe,Outbound Sales,84,False
CUST-10006,Starter,148.38,1,Manufacturing,Europe,Paid Search,14,False
CUST-10007,Starter,108.27,3,Manufacturing,APAC,Partner/Referral,26,True
CUST-10008,Starter,107.3,17,Professional Services,APAC,Paid Search,27,False
CUST-10009,Starter,73.79,6,SaaS/Tech,APAC,Partner/Referral,38,False
CUST-10010,Starter,78.83,7,Healthcare,APAC,Outbound Sales,19,True
CUST-10011,Enterprise,5363.09,1,SaaS/Tech,North America,Product-Led Trial,12,True
CUST-10012,Growth,709.41,2,SaaS/Tech,North America,Outbound Sales,36,False
CUST-10013,Growth,617.66,14,E-commerce,North America,Product-Led Trial,133,False
CUST-10014,Enterprise,4327.59,3,Manufacturing,North America,Product-Led Trial,5,True
CUST-10015,Enterprise,5192.06,18,Manufacturing,LATAM,Paid Search,30,True
CUST-10016,Enterprise,5433.83,5,FinTech,APAC,Partner/Referral,70,True
CUST-10017,Starter,67.31,6,Manufacturing,North America,Inbound/Organic,19,False
CUST-10018,Starter,101.89,2,Professional Services,North America,Outbound Sales,5,True
CUST-10019,Starter,190.44,21,Media,Europe,Inbound/Organic,15,False
CUST-10020,Starter,87.09,11,Manufacturing,APAC,Outbound Sales,7,True
CUST-10021,Growth,601.64,21,Professional Services,North America,Inbound/Organic,8,False
CUST-10022,Growth,624.22,5,Media,Europe,Outbound Sales,5,False
CUST-10023,Growth,985.76,21,Healthcare,APAC,Inbound/Organic,11,False
CUST-10024,Growth,755.95,2,FinTech,North America,Partner/Referral,24,False
CUST-10025,Growth,339.32,0,Media,North America,Paid Search,16,False
CUST-10026,Growth,787.44,17,Professional Services,Europe,Paid Search,60,False
CUST-10027,Growth,623.19,1,SaaS/Tech,North America,Partner/Referral,6,False
CUST-10028,Enterprise,2320.95,8,Healthcare,APAC,Outbound Sales,17,True
CUST-10029,Enterprise,6956.5,16,Media,APAC,Partner/Referral,79,True
CUST-10030,Growth,497.45,2,SaaS/Tech,North America,Paid Search,2,False
CUST-10031,Starter,51.71,13,Education,North America,Outbound Sales,10,False
CUST-10032,Growth,274.85,18,Manufacturing,North America,Product-Led Trial,66,False
CUST-10033,Starter,145.77,14,Media,LATAM,Partner/Referral,23,False
CUST-10034,Starter,52.65,16,Media,North America,Partner/Referral,3,False
CUST-10035,Growth,961.5,16,Manufacturing,MEA,Outbound Sales,18,False
CUST-10036,Starter,94.85,22,SaaS/Tech,North America,Paid Search,53,False
CUST-10037,Growth,277.64,14,Manufacturing,North America,Outbound Sales,27,False
CUST-10038,Starter,176.3,8,Healthcare,APAC,Product-Led Trial,11,False
CUST-10039,Growth,265.19,6,SaaS/Tech,Europe,Partner/Referral,3,False
CUST-10040,Growth,835.84,11,Healthcare,North America,Partner/Referral,4,False
CUST-10041,Starter,72.26,21,E-commerce,LATAM,Inbound/Organic,221,True
CUST-10042,Enterprise,3521.33,4,SaaS/Tech,APAC,Partner/Referral,44,True
CUST-10043,Starter,56.75,19,Manufacturing,Europe,Partner/Referral,6,True
CUST-10044,Enterprise,6002.17,18,SaaS/Tech,North America,Outbound Sales,10,True
CUST-10045,Starter,193.4,22,Professional Services,APAC,Product-Led Trial,21,True
CUST-10046,Enterprise,4096.47,21,Media,North America,Product-Led Trial,37,True
CUST-10047,Growth,535.26,11,E-commerce,North America,Product-Led Trial,150,True
CUST-10048,Starter,62.77,14,SaaS/Tech,North America,Partner/Referral,52,False
CUST-10049,Growth,719.17,9,Manufacturing,Europe,Paid Search,47,False
CUST-10050,Starter,189.02,0,Media,Europe,Partner/Referral,45,False
CUST-10051,Enterprise,5454.83,19,Media,Europe,Outbound Sales,28,True
CUST-10052,Growth,566.14,18,Healthcare,LATAM,Outbound Sales,42,False
CUST-10053,Starter,81.19,13,E-commerce,North America,Paid Search,78,False
CUST-10054,Starter,96.85,9,E-commerce,North America,Outbound Sales,12,False
CUST-10055,Growth,901.1,3,SaaS/Tech,APAC,Inbound/Organic,16,False
CUST-10056,Starter,134.28,2,SaaS/Tech,APAC,Partner/Referral,100,False
CUST-10057,Enterprise,7008.89,16,Professional Services,APAC,Inbound/Organic,12,True
CUST-10058,Starter,105.66,16,Manufacturing,Europe,Inbound/Organic,51,False
CUST-10059,Starter,184.81,11,SaaS/Tech,North America,Partner/Referral,17,False
CUST-10060,Growth,558.31,2,FinTech,North America,Outbound Sales,16,False
CUST-10061,Enterprise,7971.52,4,Healthcare,LATAM,Outbound Sales,32,True
CUST-10062,Growth,973.95,8,E-commerce,APAC,Inbound/Organic,15,False
CUST-10063,Growth,265.0,4,Manufacturing,MEA,Product-Led Trial,30,False
CUST-10064,Enterprise,7630.74,12,FinTech,North America,Partner/Referral,2,True
CUST-10065,Enterprise,1778.38,2,Education,North America,Partner/Referral,137,True
CUST-10066,Growth,792.04,7,Education,APAC,Inbound/Organic,7,False
CUST-10067,Growth,266.23,0,Manufacturing,Europe,Paid Search,56,True
CUST-10068,Enterprise,1302.12,20,Media,Europe,Outbound Sales,20,True
CUST-10069,Growth,260.27,14,SaaS/Tech,North America,Inbound/Organic,33,False
CUST-10070,Growth,920.03,10,FinTech,MEA,Partner/Referral,17,False
CUST-10071,Growth,510.23,17,FinTech,North America,Inbound/Organic,10,False
CUST-10072,Growth,225.82,8,SaaS/Tech,Europe,Product-Led Trial,9,False
CUST-10073,Enterprise,7648.6,4,Professional Services,LATAM,Paid Search,42,True
CUST-10074,Enterprise,7062.45,12,Education,North America,Inbound/Organic,21,True
CUST-10075,Enterprise,3637.17,21,Healthcare,APAC,Product-Led Trial,131,True
CUST-10076,Starter,54.52,0,Education,North America,Partner/Referral,24,False
CUST-10077,Enterprise,6947.53,16,Education,Europe,Inbound/Organic,25,True
CUST-10078,Enterprise,5243.22,0,SaaS/Tech,APAC,Paid Search,9,True
CUST-10079,Growth,615.73,21,Healthcare,Europe,Partner/Referral,17,False
CUST-10080,Enterprise,1618.86,16,Media,Europe,Product-Led Trial,126,True
CUST-10081,Starter,69.46,1,Manufacturing,Europe,Paid Search,64,False
CUST-10082,Starter,184.62,19,SaaS/Tech,Europe,Partner/Referral,31,False
CUST-10083,Growth,567.02,16,E-commerce,APAC,Partner/Referral,3,False
CUST-10084,Enterprise,4448.33,12,Manufacturing,Europe,Outbound Sales,36,True
CUST-10085,Starter,100.85,2,Media,Europe,Product-Led Trial,8,False
CUST-10086,Growth,378.86,20,Education,North America,Paid Search,21,False
CUST-10087,Starter,124.51,12,Healthcare,North America,Inbound/Organic,7,False
CUST-10088,Growth,608.81,10,Professional Services,North America,Inbound/Organic,62,False
CUST-10089,Starter,80.4,21,Manufacturing,Europe,Paid Search,12,False
CUST-10090,Starter,86.87,6,Healthcare,LATAM,Outbound Sales,8,False
CUST-10091,Growth,393.73,22,Education,North America,Inbound/Organic,26,False
CUST-10092,Starter,129.3,16,Education,Europe,Partner/Referral,107,False
CUST-10093,Growth,788.72,14,Media,Europe,Partner/Referral,5,True
CUST-10094,Starter,103.46,1,Healthcare,North America,Product-Led Trial,42,True
CUST-10095,Starter,103.8,15,FinTech,APAC,Inbound/Organic,19,True
CUST-10096,Growth,527.91,3,Media,North America,Paid Search,58,True
CUST-10097,Enterprise,4435.24,5,Healthcare,APAC,Paid Search,28,True
CUST-10098,Growth,656.72,18,Education,APAC,Paid Search,10,False
CUST-10099,Starter,66.23,13,Media,North America,Outbound Sales,3,False
CUST-10100,Starter,138.08,5,E-commerce,Europe,Product-Led Trial,74,False
CUST-10101,Growth,807.42,10,Professional Services,Europe,Outbound Sales,13,False
CUST-10102,Enterprise,6814.34,11,E-commerce,North America,Outbound Sales,26,True
CUST-10103,Growth,872.62,7,Healthcare,APAC,Partner/Referral,20,False
CUST-10104,Starter,171.19,13,E-commerce,LATAM,Inbound/Organic,18,False
CUST-10105,Starter,105.54,18,Education,North America,Inbound/Organic,69,False
CUST-10106,Enterprise,3687.24,13,Education,LATAM,Outbound Sales,2,True
CUST-10107,Starter,158.58,9,Media,North America,Product-Led Trial,118,False
CUST-10108,Growth,657.95,5,SaaS/Tech,North America,Product-Led Trial,14,False
CUST-10109,Growth,594.69,9,SaaS/Tech,North America,Product-Led Trial,37,True
CUST-10110,Enterprise,1892.42,14,Education,Europe,Product-Led Trial,56,True
CUST-10111,Growth,712.28,18,FinTech,Europe,Outbound Sales,8,False
CUST-10112,Enterprise,7713.52,7,Manufacturing,North America,Paid Search,29,True
CUST-10113,Growth,214.47,10,FinTech,North America,Partner/Referral,449,False
CUST-10114,Starter,146.71,16,FinTech,North America,Inbound/Organic,141,False
CUST-10115,Enterprise,4155.88,13,Education,MEA,Partner/Referral,13,True
CUST-10116,Starter,187.13,21,Professional Services,North America,Product-Led Trial,114,False
CUST-10117,Growth,682.37,2,Professional Services,Europe,Paid Search,11,False
CUST-10118,Starter,101.04,1,Healthcare,Europe,Outbound Sales,41,False
CUST-10119,Starter,95.72,10,Manufacturing,North America,Paid Search,4,False
CUST-10120,Starter,193.16,16,FinTech,Europe,Partner/Referral,5,False
CUST-10121,Starter,108.6,18,Healthcare,APAC,Product-Led Trial,28,False
CUST-10122,Starter,174.48,18,E-commerce,North America,Outbound Sales,113,False
CUST-10123,Starter,132.95,3,SaaS/Tech,North America,Outbound Sales,2,False
CUST-10124,Starter,145.6,0,Professional Services,MEA,Paid Search,18,False
CUST-10125,Starter,78.42,7,Manufacturing,North America,Product-Led Trial,75,False
CUST-10126,Growth,390.31,1,Healthcare,North America,Outbound Sales,18,False
CUST-10127,Starter,143.99,0,Professional Services,APAC,Product-Led Trial,7,False
CUST-10128,Growth,762.45,0,Professional Services,Europe,Outbound Sales,11,False
CUST-10129,Starter,142.62,5,Media,Europe,Paid Search,5,False
CUST-10130,Starter,195.18,11,Media,North America,Outbound Sales,27,False
CUST-10131,Starter,89.3,7,E-commerce,Europe,Inbound/Organic,28,True
CUST-10132,Enterprise,7890.82,12,E-commerce,North America,Outbound Sales,28,True
CUST-10133,Enterprise,4486.64,1,SaaS/Tech,Europe,Paid Search,103,True
CUST-10134,Growth,285.16,21,Education,North America,Outbound Sales,145,False
CUST-10135,Starter,186.16,20,FinTech,APAC,Paid Search,138,False
CUST-10136,Growth,266.16,3,Healthcare,North America,Product-Led Trial,19,False
CUST-10137,Growth,687.71,21,E-commerce,North America,Product-Led Trial,92,False
CUST-10138,Starter,129.98,18,Healthcare,APAC,Inbound/Organic,409,False
CUST-10139,Growth,285.17,8,Media,APAC,Inbound/Organic,22,False
CUST-10140,Growth,567.29,2,Healthcare,North America,Partner/Referral,7,False
CUST-10141,Starter,62.74,16,Education,APAC,Inbound/Organic,68,False
CUST-10142,Starter,130.29,18,Media,Europe,Inbound/Organic,100,False
CUST-10143,Starter,122.41,14,Healthcare,MEA,Product-Led Trial,78,False
CUST-10144,Starter,137.24,16,Professional Services,Europe,Paid Search,10,False
CUST-10145,Starter,66.29,22,Education,Europe,Partner/Referral,16,False
CUST-10146,Starter,173.34,16,Manufacturing,Europe,Outbound Sales,9,False
CUST-10147,Growth,552.38,22,FinTech,Europe,Inbound/Organic,500,False
CUST-10148,Growth,789.55,0,Media,Europe,Partner/Referral,26,False
CUST-10149,Growth,997.35,19,Education,APAC,Product-Led Trial,79,True
CUST-10150,Growth,664.03,11,Professional Services,North America,Inbound/Organic,33,False
CUST-10151,Starter,119.1,17,FinTech,APAC,Product-Led Trial,2,True
CUST-10152,Starter,197.16,8,Professional Services,North America,Partner/Referral,72,False
CUST-10153,Growth,690.12,6,FinTech,North America,Partner/Referral,19,False
