customer_id,plan_tier,region,industry,current_mrr,tenure_months,avg_logins,avg_support_tickets,avg_nps,churned,expanded,health_score_pred,risk_score_0_100,prob_healthy
CUST-10000,Starter,Europe,Media,191.61,3,25.33333333333333,0.6666666666666666,62.66666666666666,1,0,0,71.8,0.011444224
CUST-10001,Starter,North America,Manufacturing,194.49,10,25.6,1.3,70.7,1,0,1,41.5,0.11933203
CUST-10002,Starter,North America,SaaS/Tech,127.71,1,28.0,1.0,95.0,1,0,0,99.5,0.0011070231
CUST-10003,Starter,Europe,FinTech,62.59,6,21.666666666666668,0.8333333333333334,33.166666666666664,0,0,0,56.9,0.031828705
CUST-10004,Growth,LATAM,E-commerce,336.25,1,31.0,1.0,87.0,1,0,0,96.1,0.009341488
CUST-10005,Starter,Europe,FinTech,85.15,2,30.5,1.0,67.5,1,0,1,43.7,0.0076003238
CUST-10006,Starter,Europe,Manufacturing,148.38,23,23.73913043478261,1.3043478260869563,54.30434782608695,0,0,1,2.7,0.15859202
CUST-10007,Starter,APAC,Manufacturing,108.27,4,16.75,1.0,37.25,1,0,0,64.1,0.010255876
CUST-10008,Starter,APAC,Professional Services,107.3,7,22.428571428571427,4.142857142857143,55.0,0,0,1,45.7,0.01869945
CUST-10009,Starter,APAC,SaaS/Tech,88.87,9,24.88888888888889,3.6666666666666665,61.66666666666666,1,1,0,82.9,0.016632732
CUST-10010,Starter,APAC,Healthcare,94.79,17,12.941176470588236,1.7058823529411764,34.94117647058823,0,1,2,1.8,0.6616344
CUST-10011,Enterprise,North America,SaaS/Tech,4693.25,23,17.869565217391305,0.0434782608695652,59.30434782608695,0,0,1,2.2,0.20723443
CUST-10012,Growth,North America,SaaS/Tech,709.41,22,14.681818181818182,0.3181818181818182,40.90909090909091,0,0,1,8.0,0.07865343
CUST-10013,Growth,North America,E-commerce,617.66,10,14.6,2.8,54.7,0,0,1,10.8,0.010523941
CUST-10014,Enterprise,North America,Manufacturing,3548.13,21,5.904761904761905,0.6190476190476191,17.857142857142858,0,0,1,3.1,0.10156524
CUST-10015,Enterprise,LATAM,Manufacturing,5192.06,6,14.666666666666666,2.0,43.833333333333336,0,0,1,13.4,0.0661687
CUST-10016,Enterprise,APAC,FinTech,6927.65,19,14.842105263157896,0.4210526315789473,41.526315789473685,0,1,2,2.7,0.76105624
CUST-10017,Starter,North America,Manufacturing,67.31,18,18.27777777777778,0.8888888888888888,46.55555555555556,0,0,2,7.8,0.5124032
CUST-10018,Starter,North America,Professional Services,101.89,2,11.0,3.5,35.0,1,0,0,87.7,0.0023734258
CUST-10019,Starter,Europe,Media,190.44,3,20.666666666666668,0.3333333333333333,76.0,0,0,0,61.2,0.018232713
CUST-10020,Starter,APAC,Manufacturing,87.09,13,22.153846153846157,3.3846153846153846,43.69230769230769,0,0,1,5.2,0.13431096
